symbol,source_symbol,english_name,chinese_name,sector,sub_industry
A,A,Agilent Technologies Inc.,,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,AA,Alcoa Corporation,,Industrials,Aluminum
AAL,AAL,American Airlines Group Inc.,,Consumer Discretionary,Air Freight/Delivery Services
AAOI,AAOI,Applied Optoelectronics Inc.,,Technology,Semiconductors
AAON,AAON,AAON Inc.,,Industrials,Industrial Machinery/Components
AAPL,AAPL,Apple Inc.,,Technology,Computer Manufacturing
AAUC,AAUC,Allied Gold Corporation,,,
ABBV,ABBV,AbbVie Inc.,,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,ABCB,Ameris Bancorp,,Finance,Major Banks
ABEV,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),,Consumer Staples,Beverages (Production/Distribution)
ABG,ABG,Asbury Automotive Group Inc,,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABNB,ABNB,Airbnb Inc. Class A,,Consumer Discretionary,Diversified Commercial Services
ABT,ABT,Abbott Laboratories,,Health Care,Biotechnology: Pharmaceutical Preparations
ABVX,ABVX,Abivax SA American Depositary Shares,,Health Care,Biotechnology: Pharmaceutical Preparations
ACA,ACA,Arcosa Inc.,,Industrials,Metal Fabrications
ACAD,ACAD,ACADIA Pharmaceuticals Inc.,,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,ACGL,Arch Capital Group Ltd.,,Finance,Property-Casualty Insurers
ACHR,ACHR,Archer Aviation Inc. Class A,,Industrials,Aerospace
ACI,ACI,Albertsons Companies Inc. Class A,,Consumer Staples,Food Chains
ACIW,ACIW,ACI Worldwide Inc.,,Technology,Computer Software: Prepackaged Software
ACLS,ACLS,Axcelis Technologies Inc.,,Technology,Industrial Machinery/Components
ACM,ACM,AECOM,,Consumer Discretionary,Military/Government/Technical
ACN,ACN,Accenture plc Class A Ordinary Shares (Ireland),,Consumer Discretionary,Business Services
ACT,ACT,Enact Holdings Inc.,,Finance,Specialty Insurers
AD,AD,Array Digital Infrastructure Inc.,,Telecommunications,Telecommunications Equipment
ADBE,ADBE,Adobe Inc.,,Technology,Computer Software: Prepackaged Software
ADC,ADC,Agree Realty Corporation,,Real Estate,Real Estate Investment Trusts
ADI,ADI,Analog Devices Inc.,,Technology,Semiconductors
ADM,ADM,Archer-Daniels-Midland Company,,Consumer Staples,Packaged Foods
ADP,ADP,Automatic Data Processing Inc.,,Industrials,Diversified Commercial Services
ADSK,ADSK,Autodesk Inc.,,Technology,Computer Software: Prepackaged Software
ADT,ADT,ADT Inc.,,Consumer Discretionary,Diversified Commercial Services
AEE,AEE,Ameren Corporation,,Utilities,Power Generation
AEG,AEG,Aegon Ltd. New York Registry Shares,,Finance,Life Insurance
AEIS,AEIS,Advanced Energy Industries Inc.,,Technology,Industrial Machinery/Components
AEM,AEM,Agnico Eagle Mines Limited,,Basic Materials,Precious Metals
AEP,AEP,American Electric Power Company Inc.,,Utilities,Electric Utilities: Central
AER,AER,AerCap Holdings N.V.,,Consumer Discretionary,Diversified Commercial Services
AES,AES,The AES Corporation,,Utilities,Electric Utilities: Central
AFG,AFG,American Financial Group Inc.,,Finance,Property-Casualty Insurers
AFL,AFL,AFLAC Incorporated,,Finance,Accident &Health Insurance
AFRM,AFRM,Affirm Holdings Inc. Class A,,Finance,Finance: Consumer Services
AG,AG,First Majestic Silver Corp. Ordinary Shares (Canada),,Basic Materials,Precious Metals
AGCO,AGCO,AGCO Corporation,,Industrials,Industrial Machinery/Components
AGI,AGI,Alamos Gold Inc. Class A,,Basic Materials,Precious Metals
AGNC,AGNC,AGNC Investment Corp.,,Real Estate,Real Estate Investment Trusts
AGO,AGO,Assured Guaranty Ltd.,,Finance,Property-Casualty Insurers
AGX,AGX,Argan Inc.,,Consumer Discretionary,Engineering & Construction
AHR,AHR,American Healthcare REIT Inc.,,Real Estate,Real Estate Investment Trusts
AIG,AIG,American International Group Inc. New,,Finance,Life Insurance
AIR,AIR,AAR Corp.,,Industrials,Aerospace
AIT,AIT,Applied Industrial Technologies Inc.,,Consumer Discretionary,Industrial Specialties
AIZ,AIZ,Assurant Inc.,,Finance,Property-Casualty Insurers
AJG,AJG,Arthur J. Gallagher & Co.,,Finance,Specialty Insurers
AKAM,AKAM,Akamai Technologies Inc.,,Consumer Discretionary,Business Services
ALAB,ALAB,Astera Labs Inc.,,Technology,Semiconductors
ALB,ALB,Albemarle Corporation,,Industrials,Major Chemicals
ALC,ALC,Alcon Inc.,,Health Care,Ophthalmic Goods
