"symbol","available_intervals","processed_intervals","raw_file_count","processed_file_count","first_datetime","last_datetime","total_bars","source_detected_from_file","needs_update","has_data_quality_issue"
"A","4h,1day,1week,3day","4h,1day,1week,3day","4","4","1999-11-15T00:00:00","2026-05-12T09:30:00","13846","raw,processed","True","False"
"AA","4h,1day,1week,3day","4h,1day,1week,3day","4","4","1969-12-29T00:00:00","2026-05-12T09:30:00","25458","raw,processed","False","False"
"AAL","4h,1day,1week,3day","4h,1day,1week,3day","4","4","2005-09-26T00:00:00","2026-05-12T09:30:00","11609","raw,processed","False","False"
"AAOI","4h,1day,1week,3day","4h,1day,1week,3day","4","4","2013-09-23T00:00:00","2026-05-12T09:30:00","8499","raw,processed","False","False"
"AAON","4h,1day,1week,3day","4h,1day,1week,3day","4","4","1992-12-16T00:00:00","2026-05-12T09:30:00","15833","raw,processed","False","False"
"AAPL","4h,1day,1week,3day","4h,1day,1week,3day","4","4","1980-12-08T00:00:00","2026-05-06T13:30:00","21206","raw,processed","True","False"
"AAUC","4h,1day,1week,3day","4h,1day,1week,3day","4","4","2024-08-12T00:00:00","2026-05-06T13:30:00","1122","raw,processed","True","False"
"ABBV","4h,1day,1week,3day","4h,1day,1week,3day","4","4","2012-12-31T00:00:00","2026-05-06T13:30:00","8761","raw,processed","True","False"
"ABCB","4h,1day,1week,3day","4h,1day,1week,3day","4","4","1994-05-16T00:00:00","2026-05-06T13:30:00","15944","raw,processed","True","False"
"ABEV","4h,1day,1week,3day","4h,1day,1week,3day","4","4","1997-03-03T00:00:00","2026-05-06T13:30:00","14891","raw,processed","True","False"
"ABG","4h,1day,1week,3day","4h,1day,1week,3day","4","4","2002-03-18T00:00:00","2026-05-06T13:30:00","12933","raw,processed","True","False"
"ABNB","4h,1day,1week,3day","4h,1day,1week,3day","4","4","2020-12-07T00:00:00","2026-05-06T13:30:00","4764","raw,processed","True","False"
"ABT","4h,1day,1week,3day","4h,1day,1week,3day","4","4","1983-04-04T00:00:00","2026-05-06T13:30:00","20313","raw,processed","True","False"
"ABVX","4h,1day,1week,3day","4h,1day,1week,3day","4","4","2023-10-16T00:00:00","2026-05-06T13:30:00","2150","raw,processed","True","False"
"ACA","4h,1day,1week,3day","4h,1day,1week,3day","4","4","2018-10-29T00:00:00","2026-05-06T13:30:00","6486","raw,processed","True","False"
"ACAD","4h,1day,1week,3day","4h,1day,1week,3day","4","4","2004-05-24T00:00:00","2026-05-06T13:30:00","12095","raw,processed","True","False"
"ACGL","4h,1day,1week,3day","4h,1day,1week,3day","4","4","1995-09-11T00:00:00","2026-05-06T13:30:00","15471","raw,processed","True","False"
"ACHR","4h,1day,1week,3day","4h,1day,1week,3day","4","4","2020-12-14T00:00:00","2026-05-06T13:30:00","4389","raw,processed","True","False"
"ACI","4h,1day,1week,3day","4h,1day,1week,3day","4","4","2020-06-22T00:00:00","2026-05-06T13:30:00","5191","raw,processed","True","False"
"ACIW","4h,1day,1week,3day","4h,1day,1week,3day","4","4","1995-02-20T00:00:00","2026-05-06T13:30:00","15662","raw,processed","True","False"
"ACLS","4h,1day,1week,3day","4h,1day,1week,3day","4","4","2000-07-10T00:00:00","2026-05-06T13:30:00","13597","raw,processed","True","False"
"ACM","4h,1day,1week,3day","4h,1day,1week,3day","4","4","2007-05-07T00:00:00","2026-05-06T13:30:00","10957","raw,processed","True","False"
"ACN","4h,1day,1week,3day","4h,1day,1week,3day","4","4","2001-07-16T00:00:00","2026-05-06T13:30:00","13197","raw,processed","True","False"
"ACT","4h,1day,1week,3day","4h,1day,1week,3day","4","4","2020-02-10T07:00:00","2026-05-06T13:30:00","4471","raw,processed","True","False"
"AD","4h,1day,1week,3day","4h,1day,1week,3day","4","4","2007-08-20T00:00:00","2026-05-06T13:30:00","4216","raw,processed","True","False"
"ADBE","4h,1day,1week,3day","4h,1day,1week,3day","4","4","1987-03-09T00:00:00","2026-05-06T13:30:00","18793","raw,processed","True","False"
"ADC","4h,1day,1week,3day","4h,1day,1week,3day","4","4","1994-04-11T00:00:00","2026-05-06T13:30:00","16007","raw,processed","True","False"
"ADI","4h,1day,1week,3day","4h,1day,1week,3day","4","4","1984-07-16T00:00:00","2026-05-06T13:30:00","19804","raw,processed","True","False"
"ADM","4h,1day,1week,3day","4h,1day,1week,3day","4","4","1983-04-04T00:00:00","2026-05-06T13:30:00","20311","raw,processed","True","False"
"ADP","4h,1day,1week,3day","4h,1day,1week,3day","4","4","1983-04-04T00:00:00","2026-05-06T13:30:00","20298","raw,processed","True","False"
"ADSK","4h,1day,1week,3day","4h,1day,1week,3day","4","4","1985-06-24T00:00:00","2026-05-06T13:30:00","19433","raw,processed","True","False"
"ADT","4h,1day,1week,3day","4h,1day,1week,3day","4","4","2018-01-15T00:00:00","2026-05-06T13:30:00","6807","raw,processed","True","False"
"AEE","4h,1day,1week,3day","4h,1day,1week,3day","4","4","1997-12-29T00:00:00","2026-05-06T13:30:00","14568","raw,processed","True","False"
"AEG","4h,1day,1week,3day","4h,1day,1week,3day","4","4","1985-06-24T00:00:00","2026-05-06T13:30:00","19425","raw,processed","True","False"
"AEIS","4h,1day,1week,3day","4h,1day,1week,3day","4","4","1995-11-13T00:00:00","2026-05-06T13:30:00","15395","raw,processed","True","False"
"AEM","4h,1day,1week,3day","4h,1day,1week,3day","4","4","1975-04-07T00:00:00","2026-05-06T13:30:00","19775","raw,processed","True","False"
